City_ID,City,Lat,Lng,Max Temp,Weather Description,Rain,Snow,Humidity,Cloudiness,Wind Speed,Country,Date
0,Thompson,55.74,-97.86,39.2,light rain,0.0,0,100,90,14.99,CA,2020-06-19 01:47:43
1,Iqaluit,63.75,-68.51,39.2,broken clouds,0.0,0,64,75,11.41,CA,2020-06-19 01:47:44
2,Tiznit,29.58,-9.5,61.92,scattered clouds,0.0,0,83,30,4.32,MA,2020-06-19 01:47:44
3,Port Alfred,-33.59,26.89,61.0,clear sky,0.0,0,58,0,5.99,ZA,2020-06-19 01:45:07
4,Busselton,-33.65,115.33,53.01,broken clouds,0.0,0,92,80,5.12,AU,2020-06-19 01:45:09
5,Cape Town,-33.93,18.42,64.99,clear sky,0.0,0,42,0,6.93,ZA,2020-06-19 01:45:05
6,Ushuaia,-54.8,-68.3,33.8,scattered clouds,0.0,0,74,41,2.24,AR,2020-06-19 01:43:25
7,Aden,12.78,45.04,86.29,clear sky,0.0,0,76,0,2.57,YE,2020-06-19 01:44:31
8,San Patricio,19.22,-104.7,82.4,clear sky,0.0,0,78,5,11.41,MX,2020-06-19 01:47:45
9,Clyde River,70.47,-68.59,32.0,overcast clouds,0.0,0,92,90,9.17,CA,2020-06-19 01:47:45
10,Cayenne,4.93,-52.33,77.0,overcast clouds,0.0,0,100,100,5.88,GF,2020-06-19 01:47:46
11,Tasiilaq,65.61,-37.64,41.0,moderate rain,0.0,0,86,100,40.26,GL,2020-06-19 01:45:14
12,Tselinnoye,53.08,85.67,59.94,overcast clouds,0.0,0,73,98,10.65,RU,2020-06-19 01:47:46
13,Zhangye,38.93,100.45,83.61,overcast clouds,0.0,0,16,100,3.36,CN,2020-06-19 01:47:46
14,Saskylakh,71.92,114.08,77.95,broken clouds,0.0,0,31,79,12.1,RU,2020-06-19 01:47:47
15,Cutler Ridge,25.58,-80.34,77.0,scattered clouds,0.0,0,88,40,4.7,US,2020-06-19 01:47:47
16,Quatre Cocos,-20.21,57.76,71.6,shower rain,0.0,0,68,75,13.87,MU,2020-06-19 01:47:47
17,Nanortalik,60.14,-45.24,37.98,broken clouds,0.0,0,87,76,4.43,GL,2020-06-19 01:47:47
18,New Norfolk,-42.78,147.06,46.99,overcast clouds,0.0,0,84,100,1.86,AU,2020-06-19 01:47:47
19,Sosua,19.77,-70.52,82.99,clear sky,0.0,0,83,5,12.64,DO,2020-06-19 01:47:47
20,Bontang,0.13,117.5,81.84,moderate rain,2.06,0,83,100,4.36,ID,2020-06-19 01:47:48
21,Jamestown,42.1,-79.24,73.4,clear sky,0.0,0,49,1,3.36,US,2020-06-19 01:47:48
22,Sabya,17.15,42.63,91.4,scattered clouds,0.0,0,63,40,2.75,SA,2020-06-19 01:47:48
23,Bethel,41.37,-73.41,71.6,clear sky,0.0,0,83,1,4.7,US,2020-06-19 01:47:48
24,Butaritari,3.07,172.79,83.43,broken clouds,0.0,0,64,65,4.27,KI,2020-06-19 01:47:48
25,Takayama,36.13,137.25,73.4,broken clouds,0.0,0,73,75,3.36,JP,2020-06-19 01:47:49
26,Punta Arenas,-53.15,-70.92,37.4,light rain,0.0,0,93,100,9.17,CL,2020-06-19 01:47:49
27,Mezen,65.85,44.24,54.91,overcast clouds,0.0,0,66,100,4.97,RU,2020-06-19 01:47:49
28,Alofi,-19.06,-169.92,77.0,broken clouds,0.0,0,69,75,19.46,NU,2020-06-19 01:43:35
29,Mugan,35.94,101.38,61.14,broken clouds,0.0,0,57,83,3.33,CN,2020-06-19 01:47:50
30,Dakoro,14.51,6.76,81.9,overcast clouds,0.0,0,56,95,13.24,NE,2020-06-19 01:47:50
31,Hobart,-42.88,147.33,46.4,broken clouds,0.0,0,81,75,6.93,AU,2020-06-19 01:44:52
32,Puerto Ayora,-0.74,-90.35,71.01,overcast clouds,0.0,0,89,88,11.14,EC,2020-06-19 01:47:50
33,Manzanillo,20.34,-77.12,78.98,light rain,0.24,0,85,50,3.4,CU,2020-06-19 01:47:50
34,Atuona,-9.8,-139.03,80.29,clear sky,0.0,0,76,4,13.02,PF,2020-06-19 01:47:51
35,Hamilton,39.18,-84.53,72.0,scattered clouds,0.0,0,88,40,4.7,US,2020-06-19 01:43:50
36,Bluff,-46.6,168.33,46.89,clear sky,0.0,0,68,0,7.81,NZ,2020-06-19 01:45:15
37,Port Hardy,50.7,-127.42,66.2,light rain,0.0,0,72,90,2.24,CA,2020-06-19 01:47:51
38,Kosh-Agach,50.0,88.67,53.46,few clouds,0.0,0,47,20,5.32,RU,2020-06-19 01:47:51
39,Rikitea,-23.12,-134.97,73.62,heavy intensity rain,4.24,0,91,100,16.37,PF,2020-06-19 01:47:52
