City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Poum,NC,2020-06-17 00:28:44,-20.23,164.02,74.7,71,0,6.06
1,Bluff,NZ,2020-06-17 00:30:38,-46.6,168.33,46.72,81,100,17.92
2,Sitka,US,2020-06-17 00:30:38,57.05,-135.33,51.8,76,90,9.17
3,Mataura,NZ,2020-06-17 00:30:38,-46.19,168.86,44.6,93,100,8.3
4,Ushuaia,AR,2020-06-17 00:30:38,-54.8,-68.3,37.4,86,75,21.92
5,Alice Springs,AU,2020-06-17 00:30:39,-23.7,133.88,52.0,43,0,20.27
6,Pevek,RU,2020-06-17 00:30:39,69.7,170.31,46.81,65,95,5.01
7,Rikitea,PF,2020-06-17 00:30:39,-23.12,-134.97,75.72,78,43,14.52
8,Puerto Escondido,MX,2020-06-17 00:30:39,15.85,-97.07,84.2,74,75,2.21
9,Nikolskoye,RU,2020-06-17 00:30:23,59.7,30.79,66.2,88,90,4.47
10,Dayong,CN,2020-06-17 00:30:40,25.02,118.29,87.8,74,0,6.71
11,Henties Bay,NA,2020-06-17 00:30:40,-22.12,14.28,77.0,17,0,5.01
12,Punta Arenas,CL,2020-06-17 00:30:40,-53.15,-70.92,33.8,80,100,5.82
13,Vila,PT,2020-06-17 00:30:40,42.03,-8.16,60.01,82,90,2.24
14,Vimperk,CZ,2020-06-17 00:30:41,49.06,13.78,57.99,95,84,0.54
15,Port Alfred,ZA,2020-06-17 00:30:06,-33.59,26.89,55.99,85,0,4.0
16,Tiksi,RU,2020-06-17 00:30:41,71.69,128.87,51.48,50,100,8.08
17,Chipinge,ZW,2020-06-17 00:30:41,-20.19,32.62,49.35,100,80,4.27
18,Cantaura,VE,2020-06-17 00:30:41,9.31,-64.36,78.42,70,93,6.91
19,Pochutla,MX,2020-06-17 00:30:42,15.74,-96.47,87.8,62,75,6.93
20,Hermanus,ZA,2020-06-17 00:30:42,-34.42,19.23,55.0,81,0,4.0
21,Kamenka,RU,2020-06-17 00:30:42,51.32,42.77,55.99,65,0,7.4
22,Wexford,IE,2020-06-17 00:30:42,52.33,-6.46,59.0,86,100,4.0
23,Cape Town,ZA,2020-06-17 00:28:59,-33.93,18.42,48.99,93,0,3.36
24,Busselton,AU,2020-06-17 00:30:43,-33.65,115.33,61.0,58,88,29.37
25,Albany,US,2020-06-17 00:29:00,42.6,-73.97,75.0,50,0,1.21
26,Dunedin,NZ,2020-06-17 00:26:05,-45.87,170.5,59.0,54,100,11.01
27,Carnarvon,AU,2020-06-17 00:30:16,-24.87,113.63,62.6,36,0,9.17
28,Komsomolskiy,UZ,2020-06-17 00:30:43,40.43,71.72,69.8,49,74,2.24
29,Saskylakh,RU,2020-06-17 00:30:44,71.92,114.08,62.69,34,2,19.62
30,Sesheke,ZM,2020-06-17 00:30:44,-17.48,24.3,59.0,72,0,3.36
31,Tuktoyaktuk,CA,2020-06-17 00:30:44,69.45,-133.04,62.6,59,75,8.05
32,Ribeira Brava,PT,2020-06-17 00:30:44,32.65,-17.07,68.0,94,40,3.36
33,Luderitz,NA,2020-06-17 00:30:45,-26.65,15.16,75.2,9,0,25.28
34,North Bend,US,2020-06-17 00:30:45,43.41,-124.22,62.6,72,40,9.17
35,Puerto Ayora,EC,2020-06-17 00:30:45,-0.74,-90.35,72.0,89,62,1.99
36,Olafsvik,IS,2020-06-17 00:30:45,64.89,-23.71,46.24,81,100,8.95
37,Grindavik,IS,2020-06-17 00:30:46,63.84,-22.43,42.8,93,40,8.05
38,Altus,US,2020-06-17 00:30:46,34.64,-99.33,93.2,26,75,16.11
39,Januaria,BR,2020-06-17 00:30:46,-15.48,-44.37,70.81,57,56,7.34
40,Huilong,CN,2020-06-17 00:30:46,31.81,121.66,77.0,96,100,15.41
41,Nara,JP,2020-06-17 00:29:21,34.69,135.8,77.0,53,75,3.36
42,Shache,CN,2020-06-17 00:30:47,38.42,77.24,75.83,19,28,10.25
